CÛdigo ”rg„o Superior	Nome ”rg„o Superior	CÛdigo ”rg„o Subordinado	Nome ”rg„o Subordinado	CÛdigo Unidade Gestora	Nome Unidade Gestora	Categoria EconÙmica	Origem	EspÈcie	Rubrica	AlÌnea	SubalÌnea	Valor Previsto	Valor LanÁado	Valor Realizado	Percentual Realizado	ExercÌcio
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	RECEITA TRIBUTARIA	TAXAS	TAXAS PELO EXERCICIO DO PODER DE POLICIA	TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL	TAXA DE CONTROLE E FISCALIZACAO AMBIENTAL	0	0	51922,63		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	636000	0	4489674,41	705,92	2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS E JUROS DE MORA-OUTRAS RECEITAS	OUTRAS MULTAS E JUROS DE MORA	OUTRAS MULTAS E JUROS DE MORA	0	0	1025591,8		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MULTAS E JUROS PREVISTOS EM CONTRATOS	MULTAS E JUROS PREVISTOS EM CONTRATOS	0	0	38959,87		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	OUTRAS MULTAS	OUTRAS MULTAS	0	0	955512,29		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	RECUPERACAO DE DESPESAS DE EXERC. ANTERIORES	0	0	12971382,96		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	MULTAS POR DANOS AMBIENTAIS	MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS	0	0	66454,36		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	INDENIZACOES	OUTRAS INDENIZACOES	OUTRAS INDENIZACOES	0	0	11554464,16		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	OUTRAS RECEITAS	OUTRAS RECEITAS	0	0	2127442,13		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	REC.HONOR¡RIOS ADVOGADOS/‘NUS DE SUCUB NCIA	RECEITA DE HONOR¡RIOS DE ADVOGADOS	0	0	69644308,84		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITAS CORRENTES DIVERSAS	RECEITAS CORRENTES DIVERSAS	REC.HONOR¡RIOS ADVOGADOS/‘NUS DE SUCUB NCIA	RECEITA DE ‘NUS DE SUCUMB NCIA	0	0	28745159,07		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	INDENIZACOES E RESTITUICOES	RESTITUICOES	OUTRAS RESTITUICOES	OUTRAS RESTITUICOES	0	0	48085,58		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITA DA DIVIDA ATIVA	RECEITA DA DIVIDA ATIVA NAO TRIBUTARIA	REC.DIV.ATIVA POR INFRA«√O ADMINISTRATIVA	REC.DIV.ATIVA POR INFRA«√O ADMINISTRATIVA	0	0	118181,92		2015
63000	ADVOCACIA-GERAL DA UNIAO	63101	ADVOCACIA-GERAL DA UNIAO - AGU	110060	COORDENACAO-GERAL DE ORC.E FINANCAS/SGA/AGU	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	RECEITA DA DIVIDA ATIVA	RECEITA DA DIVIDA ATIVA NAO TRIBUTARIA	REC. DA DIV. ATIVA NAO-TRIB. DE OUTRAS REC.	REC.DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS REC	0	0	17408,75		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	RECEITA DE SERVICOS	RECEITA DE SERVICOS	RECEITA DE SERVICOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	TAR.INSCR.CONCURSOS E PROCESSOS SELETIVOS	0	0	9835455,02		2015
29000	DEFENSORIA PUBLICA DA UNIAO	29101	DEFENSORIA PUBLICA DA UNIAO - DPU	290001	DEFENSORIA PUBLICA DA UNI√O	RECEITAS CORRENTES	OUTRAS RECEITAS CORRENTES	MULTAS E JUROS DE MORA	MULTAS DE OUTRAS ORIGENS	OUTRAS MULTAS	OUTRAS MULTAS	0	0	280,12		2015
