Ano	Mês	Evolução Mensal (AnoMes)	Unidade da Federação	Valor Contr Terceiros (R$)
1994	Janeiro	199401	Rondônia	31704,55
1994	Janeiro	199401	Acre	4906,33
1994	Janeiro	199401	Amazonas	105348,95
1994	Janeiro	199401	Roraima	8856,84
1994	Janeiro	199401	Pará	176661,16
1994	Janeiro	199401	Amapá	12685,2
1994	Janeiro	199401	Tocantins	15450,41
1994	Janeiro	199401	Maranhão	85084,92
1994	Janeiro	199401	Piauí	38733,67
1994	Janeiro	199401	Ceará	163217,06
1994	Janeiro	199401	Rio Grande do Norte	78986,1
1994	Janeiro	199401	Paraíba	73861,58
1994	Janeiro	199401	Pernambuco	329389,51
1994	Janeiro	199401	Alagoas	72695,36
1994	Janeiro	199401	Sergipe	59712,76
1994	Janeiro	199401	Bahia	465929,34
1994	Janeiro	199401	Minas Gerais	1301967,9
1994	Janeiro	199401	Espírito Santo	226424,73
1994	Janeiro	199401	Rio de Janeiro	1781896,2
1994	Janeiro	199401	São Paulo	7922553,12
1994	Janeiro	199401	Paraná	843970,63
1994	Janeiro	199401	Santa Catarina	547004,37
1994	Janeiro	199401	Rio Grande do Sul	1057547
1994	Janeiro	199401	Mato Grosso do Sul	132411,89
1994	Janeiro	199401	Mato Grosso	93373,32
1994	Janeiro	199401	Goiás	209336,73
1994	Janeiro	199401	Distrito Federal	273358,53
1994	Fevereiro	199402	Rondônia	44908,74
1994	Fevereiro	199402	Acre	14048,55
1994	Fevereiro	199402	Amazonas	153689,92
1994	Fevereiro	199402	Roraima	15292,7
1994	Fevereiro	199402	Pará	238139,44
1994	Fevereiro	199402	Amapá	16000,38
1994	Fevereiro	199402	Tocantins	18932,53
1994	Fevereiro	199402	Maranhão	135362,78
1994	Fevereiro	199402	Piauí	24962,59
1994	Fevereiro	199402	Ceará	268677,07
1994	Fevereiro	199402	Rio Grande do Norte	107044,28
1994	Fevereiro	199402	Paraíba	59913,54
1994	Fevereiro	199402	Pernambuco	375508,81
1994	Fevereiro	199402	Alagoas	109886,39
1994	Fevereiro	199402	Sergipe	91458,85
1994	Fevereiro	199402	Bahia	654246,26
1994	Fevereiro	199402	Minas Gerais	1867655,76
1994	Fevereiro	199402	Espírito Santo	341156,72
1994	Fevereiro	199402	Rio de Janeiro	2331983,96
1994	Fevereiro	199402	São Paulo	10702397,6
1994	Fevereiro	199402	Paraná	1197057,36
1994	Fevereiro	199402	Santa Catarina	779278,56
1994	Fevereiro	199402	Rio Grande do Sul	1497172,85
1994	Fevereiro	199402	Mato Grosso do Sul	191081,98
1994	Fevereiro	199402	Mato Grosso	158347,38
1994	Fevereiro	199402	Goiás	317881,62
1994	Fevereiro	199402	Distrito Federal	449903,69
1994	Março	199403	Rondônia	56747,36
1994	Março	199403	Acre	22610
1994	Março	199403	Amazonas	215028,17
1994	Março	199403	Roraima	22171,94
1994	Março	199403	Pará	364478,88
1994	Março	199403	Amapá	24820
1994	Março	199403	Tocantins	30964,47
1994	Março	199403	Maranhão	181232,64
1994	Março	199403	Piauí	91352,3
1994	Março	199403	Ceará	391212,62
1994	Março	199403	Rio Grande do Norte	176594,45
1994	Março	199403	Paraíba	156484,04
1994	Março	199403	Pernambuco	569524,72
1994	Março	199403	Alagoas	171324,83
1994	Março	199403	Sergipe	140220,91
1994	Março	199403	Bahia	920198,52
1994	Março	199403	Minas Gerais	2760099,46
1994	Março	199403	Espírito Santo	485230,15
1994	Março	199403	Rio de Janeiro	4162715,67
1994	Março	199403	São Paulo	15816057,87
1994	Março	199403	Paraná	1703161,91
1994	Março	199403	Santa Catarina	1079721,97
1994	Março	199403	Rio Grande do Sul	2182534,04
1994	Março	199403	Mato Grosso do Sul	293499,29
1994	Março	199403	Mato Grosso	224237,13
1994	Março	199403	Goiás	483548,64
1994	Março	199403	Distrito Federal	676701,8
1994	Abril	199404	Rondônia	107782,61
1994	Abril	199404	Acre	24818,15
1994	Abril	199404	Amazonas	309159,09
1994	Abril	199404	Roraima	21962,18
1994	Abril	199404	Pará	418089,58
1994	Abril	199404	Amapá	27477,77
1994	Abril	199404	Tocantins	39013,49
1994	Abril	199404	Maranhão	229884,84
1994	Abril	199404	Piauí	46212,78
1994	Abril	199404	Ceará	504243,38
1994	Abril	199404	Rio Grande do Norte	179267,56
1994	Abril	199404	Paraíba	171380,86
1994	Abril	199404	Pernambuco	1017517,67
1994	Abril	199404	Alagoas	224936,8
1994	Abril	199404	Sergipe	251321,15
1994	Abril	199404	Bahia	1290450,64
1994	Abril	199404	Minas Gerais	3687773,57
1994	Abril	199404	Espírito Santo	708753,87
1994	Abril	199404	Rio de Janeiro	5766238,59
1994	Abril	199404	São Paulo	23409852,29
1994	Abril	199404	Paraná	2684492,24
1994	Abril	199404	Santa Catarina	1608519,62
1994	Abril	199404	Rio Grande do Sul	3000350,02
1994	Abril	199404	Mato Grosso do Sul	575520,96
1994	Abril	199404	Mato Grosso	300350,9
1994	Abril	199404	Goiás	640991,25
1994	Abril	199404	Distrito Federal	932386,39
1994	Maio	199405	Rondônia	120066,55
1994	Maio	199405	Acre	35144,91
1994	Maio	199405	Amazonas	348628,73
1994	Maio	199405	Roraima	26667,21
1994	Maio	199405	Pará	553513,46
1994	Maio	199405	Amapá	29470,86
1994	Maio	199405	Tocantins	49646,37
1994	Maio	199405	Maranhão	239436,88
1994	Maio	199405	Piauí	225171,15
1994	Maio	199405	Ceará	782607,03
1994	Maio	199405	Rio Grande do Norte	318316,19
1994	Maio	199405	Paraíba	275087,09
1994	Maio	199405	Pernambuco	1383631,43
1994	Maio	199405	Alagoas	307563,71
1994	Maio	199405	Sergipe	286902,71
1994	Maio	199405	Bahia	1540872,97
1994	Maio	199405	Minas Gerais	5968487,56
1994	Maio	199405	Espírito Santo	1024861,94
1994	Maio	199405	Rio de Janeiro	8307361,82
1994	Maio	199405	São Paulo	33023981,21
1994	Maio	199405	Paraná	3715600,67
1994	Maio	199405	Santa Catarina	2308284,01
1994	Maio	199405	Rio Grande do Sul	4354792,84
1994	Maio	199405	Mato Grosso do Sul	532678,07
1994	Maio	199405	Mato Grosso	339630,27
1994	Maio	199405	Goiás	889176,56
1994	Maio	199405	Distrito Federal	1316808,23
1994	Junho	199406	Rondônia	212674,8
1994	Junho	199406	Acre	80015,87
1994	Junho	199406	Amazonas	692927,36
1994	Junho	199406	Roraima	51916,09
1994	Junho	199406	Pará	1141557,59
1994	Junho	199406	Amapá	74353,08
1994	Junho	199406	Tocantins	72017,4
1994	Junho	199406	Maranhão	564442,48
1994	Junho	199406	Piauí	266086,59
1994	Junho	199406	Ceará	1182231,83
1994	Junho	199406	Rio Grande do Norte	517370,38
1994	Junho	199406	Paraíba	515146,22
1994	Junho	199406	Pernambuco	2027342,88
1994	Junho	199406	Alagoas	459413,21
1994	Junho	199406	Sergipe	489796,94
1994	Junho	199406	Bahia	3163939,37
1994	Junho	199406	Minas Gerais	8541738,12
1994	Junho	199406	Espírito Santo	1506309,72
1994	Junho	199406	Rio de Janeiro	12541643,34
1994	Junho	199406	São Paulo	52041694,25
1994	Junho	199406	Paraná	5967617,9
1994	Junho	199406	Santa Catarina	3543952,45
1994	Junho	199406	Rio Grande do Sul	6905469,25
1994	Junho	199406	Mato Grosso do Sul	994585,92
1994	Junho	199406	Mato Grosso	741492,53
1994	Junho	199406	Goiás	1192024,24
1994	Junho	199406	Distrito Federal	2097146,47
1994	Julho	199407	Rondônia	370612,77
1994	Julho	199407	Acre	90536,66
1994	Julho	199407	Amazonas	876187,95
1994	Julho	199407	Roraima	56709,01
1994	Julho	199407	Pará	1659021,47
1994	Julho	199407	Amapá	91752,03
1994	Julho	199407	Tocantins	87908,45
1994	Julho	199407	Maranhão	715869,76
1994	Julho	199407	Piauí	296535,06
1994	Julho	199407	Ceará	1461521,82
1994	Julho	199407	Rio Grande do Norte	548872,24
1994	Julho	199407	Paraíba	572813,88
1994	Julho	199407	Pernambuco	2526692,82
1994	Julho	199407	Alagoas	575292,96
1994	Julho	199407	Sergipe	498713,44
1994	Julho	199407	Bahia	3799018,2
1994	Julho	199407	Minas Gerais	12267439,41
1994	Julho	199407	Espírito Santo	2047784,9
1994	Julho	199407	Rio de Janeiro	17471842,88
1994	Julho	199407	São Paulo	70615169,6
1994	Julho	199407	Paraná	7750574,65
1994	Julho	199407	Santa Catarina	4802339,77
1994	Julho	199407	Rio Grande do Sul	8984997,86
1994	Julho	199407	Mato Grosso do Sul	1324168,48
1994	Julho	199407	Mato Grosso	1024937,02
1994	Julho	199407	Goiás	2012727,51
1994	Julho	199407	Distrito Federal	2681714,47
1994	Agosto	199408	Rondônia	343773,19
1994	Agosto	199408	Acre	94934,75
1994	Agosto	199408	Amazonas	1026075,69
1994	Agosto	199408	Roraima	71631,95
1994	Agosto	199408	Pará	1722036,66
1994	Agosto	199408	Amapá	104472,27
1994	Agosto	199408	Tocantins	123111,09
1994	Agosto	199408	Maranhão	763656,3
1994	Agosto	199408	Piauí	374397,74
1994	Agosto	199408	Ceará	1744344,55
1994	Agosto	199408	Rio Grande do Norte	759796,22
1994	Agosto	199408	Paraíba	706824,68
1994	Agosto	199408	Pernambuco	2954639,04
1994	Agosto	199408	Alagoas	639259,53
1994	Agosto	199408	Sergipe	735469,78
1994	Agosto	199408	Bahia	4506413,82
1994	Agosto	199408	Minas Gerais	13218248,59
1994	Agosto	199408	Espírito Santo	2310729,56
1994	Agosto	199408	Rio de Janeiro	17414036,08
1994	Agosto	199408	São Paulo	76430425,84
1994	Agosto	199408	Paraná	8641620,52
1994	Agosto	199408	Santa Catarina	5292834,24
1994	Agosto	199408	Rio Grande do Sul	10391676,46
1994	Agosto	199408	Mato Grosso do Sul	1492980,6
1994	Agosto	199408	Mato Grosso	1218292,07
1994	Agosto	199408	Goiás	2275886,88
1994	Agosto	199408	Distrito Federal	2957832,65
1994	Setembro	199409	Rondônia	299466,5
1994	Setembro	199409	Acre	116867,01
1994	Setembro	199409	Amazonas	1056838,16
1994	Setembro	199409	Roraima	71452,24
1994	Setembro	199409	Pará	1768448,2
1994	Setembro	199409	Amapá	98053,74
1994	Setembro	199409	Tocantins	123506,08
1994	Setembro	199409	Maranhão	732478,31
1994	Setembro	199409	Piauí	374575,57
1994	Setembro	199409	Ceará	1716874,93
1994	Setembro	199409	Rio Grande do Norte	668380,17
1994	Setembro	199409	Paraíba	702316,92
1994	Setembro	199409	Pernambuco	3076205,06
1994	Setembro	199409	Alagoas	636132,8
1994	Setembro	199409	Sergipe	649021,46
1994	Setembro	199409	Bahia	3767954,3
1994	Setembro	199409	Minas Gerais	13778616,78
1994	Setembro	199409	Espírito Santo	2474524,39
1994	Setembro	199409	Rio de Janeiro	20838137,92
1994	Setembro	199409	São Paulo	81075426,33
1994	Setembro	199409	Paraná	9170852,94
1994	Setembro	199409	Santa Catarina	5897624,35
1994	Setembro	199409	Rio Grande do Sul	11173662,39
1994	Setembro	199409	Mato Grosso do Sul	1492286,46
1994	Setembro	199409	Mato Grosso	1111078,74
1994	Setembro	199409	Goiás	2416286,49
1994	Setembro	199409	Distrito Federal	3228180,69
1994	Outubro	199410	Rondônia	337295,97
1994	Outubro	199410	Acre	102773,65
1994	Outubro	199410	Amazonas	1194597,24
1994	Outubro	199410	Roraima	80347,65
1994	Outubro	199410	Pará	1725815,6
1994	Outubro	199410	Amapá	115170,99
1994	Outubro	199410	Tocantins	121890,97
1994	Outubro	199410	Maranhão	756795,73
1994	Outubro	199410	Piauí	415275,9
1994	Outubro	199410	Ceará	1913878,18
1994	Outubro	199410	Rio Grande do Norte	709839,79
1994	Outubro	199410	Paraíba	738925,47
1994	Outubro	199410	Pernambuco	3228775,56
1994	Outubro	199410	Alagoas	698566,68
1994	Outubro	199410	Sergipe	694723,47
1994	Outubro	199410	Bahia	4790455,05
